name,based_on,source,background,faction,motivations,quote,description,roleplay notes,ego_stats,ego_traits,Skills,Sleights,morph_type,morph_stats,morph traits,augmentations,appearance,gear,equipped weapons,equipped armor,Blueprints,credits,rep,skills include morph,image
Devoted Gladiator,,DEV.27,,Nine Lives,,,"These combat morphs aren’t even clothed before being ushered to Samedi’s gladiator pits. Loaded with AWE-hacked egos, they don’t mind. If ordered to kill, they won’t stop until the enemy of the “executive” is dead or they’ve been obliterated.",,"COG:10, COO:20, INT:15, REF:15, SAV:15, SOM:20, WIL:15, MOX:1, SPD:2","Brave, Mental Disorder: Bipolar, Mental Disorder: Depersonsalization, Mental Disorder: PTSD, Modified Behavior (Level 2): Awareness Block, Modified Behavior (Level 3): Loyalty to Elleggua, Pain Tolerance","Blades 50, Free Fall 55, Freerunning 55, Fray 70, Unarmed Combat 50",,Remade,"COG:10, SAV:5, SOM:10, REF:5 COO:5, DUR:40",,"Basic Biomods, Basic Mesh Inserts, Circadian Regulation, Claws, Clean Metabolism, Cortical Stack, Eidetic Memory, Enhanced Respiration, Enhanced Vision, Neurachem (Level 1), Temperature Tolerance, Toxin Filters",,,Cyberclaws,,,,,TRUE,
Rozuzawa Chi,,DEV.27,Undercover Titanian Scientist,,,,,"Rokuzawa is a daring and unorthodox researcher who's devoted herself to exploring the limits of transhuman identity. But with Nine Lives, she's in over her head. At this point, she just wants to get out of here. Rokuzawa's alpha could trash the reps of any scientist or autonomist characters who go back on a deal to get her off station. She'll use this as leverage when bargaining.","COG:15, COO:5, INT:20, REF:10, SAV:15, SOM:15, WIL:15, MOX:2, SPD:1","Adaptability (Level 1), Allies, Ego Plasticity (Level 1), Trauma Tolerance (Level 1)","Academics: Neuroscience (Forking) 80, Blades 45, Fray 50, Free Fall 40, Infosec 55, Interest: Neuroscience Projects 50, Interfacing 45, Kinesics 60, Language: Japanese 90, Language: Skandinaviska 80, Medicine: Resleeving 55, Perception 50, Persuasion 50, Programming 40, Psychosurgery 80, Research 70",,Bouncer,"COG:5, COO:5, SOM:5, DUR:35",Limber (Level 1),"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Grip Pads, Oxygen Reserve, Prehensile Feet","Rokuzawa's gender identity is female, but she's sleeved into a male Asian bouncer. Like all of the Houngan, she wears off-white researcher's coveralls with Nazon's personal veve (corrupted from that of Papa Legba) on the chest.","Chameleon Cloak, Creepy Bot",Wasp Knife,Light Vacsuit,,,,TRUE,
Arman Usupov,,EH.37,,,"+Exploration, +Research (Alien Civilizations), +Techno-Progressivism",,,,"COG:20, COO:15, INT:20, REF:10, SAV:15, SOM:15, WIL:15, MOX:3, SPD:1",,"Academics: Astrobiology 65, Academics: Chemistry 45, Academics: Engineering 55, Academics: Geology 60, Academics: Physics 45, Academics: Xenoarcheology 75, Art: Architecture 50, Climbing 40, Deception 45, Demolitions 50, Fray 45, Free Fall 25, Freerunning 60, Interest: Alien Relics 50, Interest: Pandora Gates 60, Interfacing 25, Investigation 70, Kinesics 35, Kinetic Weapons 45, Language: Native French 95, Language: English 45, Networking: Autonomists 35, Networking: Firewall 35, Networking: Hypercorps 35, Networking: Scientists 55, Perception 45, Pilot: Aircraft 35, Pilot: Groundcraft 50, Profession: Excavation 45, Profession: Forensics 60, Profession: Surveying 45, Protocol 55, Research 60,",,Exalt,"COG:5, INT:5, SOM:5, REF:5, DUR:35",,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Echolocation, Medichines, Mnemonic Augmentation",,Backup Insurance,,,,5000,"@:40,c:40,e:20,i:40,r:60",TRUE,
Anarchist Techie,,EP.154,Original Space Colonist,Anarchist,"+Anarchism, +Open Source, +Tech-Hacking","Don't worry, it works; these things run themselves anyway. I voided the warranty, but anything loaded with DRM like that is broken to start with.","You’re an old-school hacker—the kind that likes to take technological toys, dismantle them, modify them, rebuild them, and then use them in ways the designers never imagined. When you’re not too busy building crazy robotic sculptures for art performance purposes, your skills are in demand because you can fix almost anything, improve it, or even build it from scratch.

You advocate for open-source technology that anyone can use or modify as they see fit and you support decentralized models of peer collaboration—nothing pisses you off more than restrictive proprietary tech with which you or others can’t meddle. You take a hands-on approach to most problems, but you become so engrossed in your projects that you tend to be oblivious to the world around you. ",,"COG:15, COO:20, INT:20, REF:10, SAV:15, SOM:15, WIL:15, MOX:4, SPD:1","Oblivious, Limber (Level 1)","Academics: Engineering 60, Academics: Nanotechnology 70, Academics: Physics 60, Art: Sculpture 55, Free Fall 60, Hardware: Aerospace 45, Hardware: Armorer 55, Hardware: Electronics 60, Hardware: Robotics 60, Infosec 40, Interest: Martian Beers 45, Interest: Robot Models 45, Interest: VR Games 55, Interfacing 50, Language: Native English 85, Language: Mandarin 60, Networking: Autonomists 70, Networking: Firewall 35, Networking: Scientists 35, Perception 55, Pilot: Aircraft 45, Pilot: Spacecraft 30, Profession: Habitat Systems 60, Profession: Spacecraft Systems 60, Programming 60 (Nanofabrication), Scrounging 45, Spray Weapons 40",,Bouncer,"COG:5, COO:5, INT:5, SOM:5","Oblivious, Limber (Level 1)","Access Jacks, Basic Biomods, Basic Mesh Inserts, Cortical Stack, Electrical Sense, Grip Pads, Oxygen Reserve, Prehensile Feet, Wrist-Mounted Tools",,"Automech:2, Backup Insurance (Budget):1 month, Engineer Swarm, Fabber, Fixer Swarm",Freezer,Crash Suit; Smartfabric Vacsuit,,200,"@:60,i:40,r:50",FALSE,
Argonaut Xenoarcheologist,,EP.155,Original Space Colonist,Argonaut,"+Exploration, +Research (Alien Civilizations), +Technoprogressivism",I’ve got a bad feeling about this. These tools are very similar to the ones we recovered from the ruins on that binary system exoplanet last year.,"You are convinced that something strange is going on in the galaxy. Despite the Factors and signs of dead alien civilizations like the Iktomi, the sheer mathematical odds insist that there should be more life in the galaxy. So where is it? Your goal is to find out, and in pursuit of this you study the relics left behind on various exoplanets.

Equal parts conspiracy theorist, treasure hunter, and scientist, you have the skills and training to decode the evidence and artifacts left behind by unknown entities and life forms. You are a valued expert for gatecrashing expedi- tions, but you avoid working for hypercorps because you believe, like other argonauts, that any discoveries made should be available to all.",,"COG:20, COO:15, INT:20, REF:15, SAV:10, SOM:15, WIL:15, MOX:3, SPD:1","Enemy: Rival Xenoarcheologist, Mental Disorder: Impulse Control, Mental Disorder: Insomnia, Morphing Disorder, Psi (Level 2)","Academics: Astrobiology 60, Academics: Chemistry 40, Academics: Engineering 50, Academics: Geology 55, Academics: Physics 50, Academics: Xenoarcheology 70, Art: Architecture 45, Beam Weapons 35, Climbing 35, Demolitions 45, Fray 45, Free Fall 25, Interest: Alien Relics 45, Interest: Pandora Gates 55, Interfacing 20, Investigation 65, Kinesics 30, Language: Native French 90, Language: English 40, Networking: Autonomists 30, Networking: Firewall 30, Networking: Hypercorps 30, Networking: Scientists 50, Pilot: Aircraft 35, Pilot: Groundcraft 50, Profession: Excavation 50, Profession: Forensics 55, Profession: Surveying 40, Protocol 40, Research 55, Sense 60","Ambience Sense, Grok, Pattern Recognition, Omni Awareness, Static, Thought Browse",Exalt,"COG:5, INT:5, SAV:5, SOM:5, DUR:35","Enemy: Rival Xenoarcheologist, Mental Disorder: Impulse Control, Mental Disorder: Insomnia, Morphing Disorder, Psi (Level 2)","Basic Biomods, Basic, Mesh Inserts, Cortical Stack, Echo Location, Medichines, Mnemonic Augmentation",,"Backup Insurance:1 month, Cleaner Swarm, Disassembler Swarm, Electronic Rope, Forensics Kit, Klar, Mobile Lab, Servitor Bot, Shelter Dome, Smart Dust, Specimen Container, Specs, Utilitool",Stunner,Smartfabric Vacsuit,,4250,"@:40,c:40,e:20,i:40,r:60",FALSE,
Barsoomian Freelance Journalist,,EP.156,Martian,Barsoomian,"–Censorship, +Martian Liberation, +Sousveillance","What? No, I’m not recording. Anything you have to say about the Hellas massacre is strictly between you and me.","Thanks to the mesh, lifelogging, XP, and ubiquitous surveillance, journalism is a crowdsourced industry—everyone is a reporter. Hard work, skill, and attitude can still earn you a name and recog- nition, however. Your commitment to old-school investigative journalism and raking the muck that the power brokers and influence peddlers wallow in has helped expose the puppet strings behind the cyberdemocratic facade.

You make a sport out of bypassing the hypercorp content filters and initiating subversive memes. Equal parts investigator, paparazzi, adventurer, and activist, you embrace a gonzo journalist style that borders on entertainment. You prefer synths because they are innocuous and employ numerous drones and electronic spies to obtain the real story.",,"COG:15, COO:10, INT:20, REF:10, SAV:20, SOM:15, WIL:15, MOX:5, SPD:1",Modified Behavior (Level 1): Boosted Stalking Tendencies,"Academics: Memetics 55, Academics: Political Science 35, Academics: Psychology 45, Art: Performance 60, Art: Writing 50, Deception 50, Fray 40, Freerunning 45, Gunnery 45, Hardware: Robotics 55, Infiltration 35, Infosec 40, Interest: Inner System Rumors 55, Interest: Martian Politics 55,  Interest: Post-Fall History 45, Interfacing 40, Intimidation 20, Investigation 60, Kinesics 60, Language: Mandarin 90, Language: English 40, Language: Hindi 40, Networking: Autonomists 50, Networking: Criminal 40, Networking: Hypercorps 50, Networking:Media 60, Perception 50, Persuasion 50, Pilot: Aircraft 50, Pilot: Groundcraft 20, Profession: Social Engineering 50, Protocol 40, Research 55, Spray Weapons 30,  Unarmed Combat SOM 45 5 50",,Synth,"REF:5, SOM:5, DUR:40","Minor Addiction: Narcoalgorithms, Social Stigma: Clanking 
Masses, Uncanny Valley","Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Enhanced Hearing, Enhanced Smell, Enhanced Vision, Lidar, Mnemonic Augmentation, Radar, T-Ray Emitter",,"Backup Insurance (Budget):1 month, Covert Ops Tool, Facial/Image Recognition Software, Gnat Bot:3, Linkstate, Microbug:5, Radio Booster, Repair Spray, Saucer Bot, Speck Bot:2, Smart Dust, Tracking Software, Trike Exoskeleton",Shredder,,,1450,"@:40,c:40,e:20,i:40,r:60",FALSE,
Brinker Genehacker,,EP.157,Isolate,Brinker,"+Artistic Expression: Morph Design, +Morphological Freedom +Research: Neogenetics","It’s alive! It’s alive! Wait—no—well, it was alive. Let’s try that again.","Some might consider you a mad scientist, but they simply lack the vision and moral flexibility to understand the meaning of your work. You are not just a scientist—you are an artist, dedicated to defining the shapes and abilities of transhumans as they transition to the posthuman. Because your work is sometimes controversial, you prefer the brinker lifestyle, working in isolation where you are not restricted by laws or customs.

There are some who find your work intriguing or valuable, of course, and so you have acquired influen- tial backers. In truth, you are an expert when it comes to designing and manipulating biomorphs, and so your services are sometimes in demand when it comes to explain- ing unusual and exotic transformations. Your patrons, of course, sometimes call on your expertise from time to time in exchange for bankrolling your work",,"COG:20, COO:15, INT:15, REF:15, SAV:15, SOM:20, WIL:20, MOX:3, SPD:1","Black Mark (Level 1): Lunars, Patron: Gerontocrat, Psi Defense","Academics: Biology 70, Academics: Genetics 70, Academics: Nanotechnology 60, Art: Bodysculpting 45, Beam Weapons 45, Deception 30, Fray 40, Free Fall 55, Hardware: Aerospace 40, Interest: Black Market Drugs 40, Interest: Genetics Research 60, Interest: Morph Designs 55, Interfacing 20, Kinesics 40, Language: Native Arabic 85, Language: English 40, Medicine: General Practice 55, Medicine: Gene Therapy 65, Medicine: Nanomedicine 60, Medicine: Trauma Surgery 50, Networking: Autonomists 35, Networking: Criminal 45, Networking: Scientists 55, Perception 45, Pilot: Spacecraft 25, Profession: Lab Technician 50, Profession: Medical Care 55, Psychosurgery 55, Research 45,  Scrounging INT 50 5 55",,Menton,"COG:10, COO:5, INT:5, WIL:5, DUR:35","Black Mark (Level 1): Lunars, Patron: Gerontocrat, Psi Defense","Access Jacks, Basic 
Biomods, Basic Mesh Inserts, Circadian Regulation, Cortical Stack, Eidetic Memory, Ghostrider Module, Hyper-Linguist, Math Boost, Medichines, Multitasking ",,"Backup Insurance:1 month, Dr. Bot, Drive:5, Ego Bridge, Fabber, Frequency:2, Guardian Angel, Nanobandage",Stunner,Armor Clothing,,1900,"@:30,c:20,g:30,r:60",FALSE,
Criminal Hacker,,EP.158,Re-Instantiated,Criminal,"+Fame, +Subverting Technology, +Thrill-Seeking",You call this secure? Maybe it would keep me out if I was a particularly slow child.,"There's never been a system you couldn't crack, given time. That's what got you put away the first time, but now that you have a second chance you'll never get caught again. You take pride at circumventing firewalls and mesh defenses—nothing surpasses the thrill of digital trespassing and accessing secrets.

Such intrusions are illegal, of course, but you've never let morality get in your way. In fact, you make a good living selling your talents to criminal groups like the triads and ID Crew. You've never been a joiner, though—you remain strictly freelance. In fact, you'll sell your services to almost anyone—it's the thrill of the hack that really counts",,"COG:20, COO:15, INT:15, REF:10, SAV:20, SOM:10, WIL:15, MOX:3, SPD:1","Edited Memories, On the Run: Morningstar Constellation, Right at Home","Academics: Computer Science 60, Academics: Cryptography 60, Academics: Engineering 50, Art: Electronic Music 45, Beam Weapons 40, Deception 55, Fray 40, FreeFall 30, Hardware: Electronics 60, Hardware: Industrial 45, tics 55, Impersonation 45, Infiltration 60, Infosec 70, Interest: Hacker Mesh Forums 55, Interest: Online Banking 50, Interest: Triad Economics 45, Interfacing 55, Intimidation 30, Kinesics 40, Language: Native Russian 85, Networking: Autonomists 40, Networking:Firewall 40, Networking: Hypercorps 40, Perception 50, Pilot: Aircraft 30, Pilot: Groundcraft 20, Profession: Accounting 50, Profession: Security Operations 55, Profession: Social Engineering 60, Programming 60,Research 60",,Swarmanoid,DUR:30,"Edited Memories, On the Run: Morningstar Constellation, Right at Home","Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Electrical Sense, Enhanced Vision, Lidar, Magnetic System, Mental Speed, Mnemonic Augmentation, Na- noscopic Vision, Radar, Swarm Composition, T-Ray Emitter",,"Automech, Backup Insurance (Budget):1 month, Exploit Software, Fake Ego ID, Guardian Bot, Guardian Swarm, Saboteur Swarm, Servitor Bot, Sniffer Software, Spoof Software, Tactical Network, Tracking Software",EMP Grenade,,,5250,"@:30,c:20,g:50,i:50",FALSE,
Extropian Smuggler,,EP.159,Re-Instantiated,Extropian,"+Libertarianism, +Subverting Authority, +Wealth","Sorry about that, but I gotta look out for numero uno. You understand.","Despite the failures of statist capitalism, you’re a die-hard believer in free markets—and when markets aren’t free, you have no qualms about undermining them.

You make a living supplying the inner system and Jovian black markets, whether that means running blockades, smuggling contraband, or pirating nanofab blueprints. In an age of automated machines, you’re a damn good pilot, and you can talk or shoot your way out of messy situations. Whereas many people look down on synthmorphs, you embrace the post-biological life and its freedom from chemical and biological dependencies.",,"COG:15, COO:15, INT:15, REF:20, SAV:15, SOM:15, WIL:15, MOX:5, SPD:1","Neural Damage: Repetitive Behavior, On the Run: Jovians, Sense, Edited Memories","Academics:Accounting 35, Academics: Astrophysics 45, Academics: Psychology 40, Blades 45, Deception 50, Fray 50, Free Fall 30, Gunnery 40, Hardware: Aerospace 50, In ltration 40, Infosec 35, Interest: Black Markets 55, Interest: Criminal Groups 35, Interest: Inner System Law 55, Kinesics 40, Kinetic Weapons 50, Language: Native Korean 85, Language: English 45, Language: Cantonese 40, Navigation 30, Networking: Autonomists 55, Networking: Criminal 55, Networking: Hypercorps 35, Palming 35, Pilot: Aircraft 45, Pilot: Groundcraft 50, Pilot: Spacecraft 60, Profession: Appraisal 45, Profession: Customs Procedures 50, Profession: Smuggling Tricks 60",,Slitheroid,"COO:5, INT:5, SOM:5, DUR:45","Neural Damage: Repetitive Behavior, On the Run: Jovians, Sense, Edited Memories","360-degree Vision, Access Jacks, Anti-Glare, Basic Mesh Inserts, Chameleon Skin, Cortical Stack, Cyberbrain, Enhanced Vision, Grip Pads, Hidden Compartment, Lidar, Light Combat Armor, Mnemonic Augmentation, Mobility System: Snake (4/16; 8/32 rolling), Radar, T-Ray Emitter",,"Backup Insurance (Budget):1 month, Dazzler, Fake Ego ID, Guardian Bot, Miniature Radio Farcaster, Phlo, Portable Plane, Radio Booster, Repair Spray, Slip, Utilitool, White Noise Machine",SMG; Vibroblade,Light Combat Armor; Smart Clothing,,1400,"@:50,c:30,g:70,i:50",FALSE,
Hypercorp Black Marketeer,,EP.160,Fall Evacuee,Hypercorp,"+Personal Career, +Technoprogressivism, +Wealth","I may have that, but it’s very hard to acquire. How much is it worth to you?","The inner system is a nice place to live, but it has its share of inequalities. Someone has to provide the goods and services that the poor and clanking masses need, and you’re more than will- ing to meet their needs—and make some profit of your own while you’re at it. You work as an exchange point between the hackers, smugglers, and criminal cartels on one side and everyone who needs or craves the restricted and illegal on the other. You keep a step ahead of the law, providing what you see as an essential role in society despite the official rules and restrictions that enhance your profit margins. n",,"COG:15, COO:15, INT:20, REF:15, SAV:15, SOM:15, WIL:10, MOX:4, SPD:1",Enemy: Rival Criminal,"Academics: Economics 60, Academics: Sociology 55, Beam Weapons 40, Climbing 35, Deception 60, Fray 45, Freerunning 35, Infiltration 40, Infosec 40, Interest: Black Markets 60, Interest: Inner System Law 50, Interest: Smuggling 55, Interfacing 35, Kinesics 60, Language: Native Portugese 85, Language: English 45, Networking: Autonomists 45, Networking: Criminal 60, Networking: Hypercorps 60, Networking: Media 45, Perception 50, Persuasion 60, Pilot: Groundcraft 25, Profession: Appraisal 60, Profession:Con Schemes 55, Profession: Info Brokerage 50, Protocol 55, Scrounging 40, Spray Weapons 35, Unarmed Combat 55",,Splicer,"SAV:5, DUR:30",Enemy: Rival Criminal,"Basic Biomods, Basic Mesh Inserts, Bioweave (Light), Cortical Stack, Eelware, Endo- crine Control, Enhanced Vision, Medichines, Nanophages",,"Backup Insurance (Budget):1 month, Cleaner swarm, Fake Ego ID, Guardian Bot, Nanobandage, Nanodetector, Servitor Bot, Tactical Network",Laser Pulser; Shredder; Overload Grenade,Standard Vacsuit; Armor Vest,,2650,"@:20,c:70,e:20,f:30,g:50,i:10",FALSE,https://dl.dropboxusercontent.com/u/87325424/eldrich-images/npcs/Hypercorp%20BlackMarketeer%20Splicer_BenNewman.png
Jovian Spy,,EP.170,Original Space Colonist,Jovian,"-Anarchism, +Bioconservatism, -Technoprogressivism","Not so immortal now, are we, frankenfreak scum!","You’re a dedicated soldier to the bioconservative cause, convinced that unrestricted technology is driving the human race to extinction. The Jovian Republic has trained you and modified you to serve their interests, whether that means infiltrating a hypercorp to steal its secrets or sabotaging an autonomist habitat. As a skilled professional in service to the republic, you have no qualms about using technologies that you otherwise want restricted or banned, and you appreciate the irony of using the tools of transhuman monsters against them. You prefer flats, and you consider it a point of pride that you sleeve into a non-genetically modified body with no cortical stack and still kick transhuman ass.",,"COG:15, COO:15, INT:15, REF:15, SAV:15, SOM:15, WIL:15, MOX:3, SPD:1","Modified Behavior (Level 2): Bloodthirsty, Morphing Disorder (Level 1), Genetic Defect:Heart Disease, Unattractive (Level 1)","Academics: Cryptography 60, Academics: Linguistics 60, Blades 45, Climbing 55, Clubs 45, Deception 60, Demolitions 45, Disguise 45, Fray 45, Free Fall 45, Freerunning 45, Impersonation 45, Infiltration 60, Infosec 60, Interest: Autonomist Groups 55, Interest: Criminal Groups 55, Interest: Hypercorp Politics 55, Kinesics 45, Language: Native Spanish 85, Language: English 50, Networking: Criminals 40, Networking: Ecologists 45, Networking: Hypercorps 45, Palming 45, Perception 55, Profession: Security Systems 55, Profession: Smuggling Tricks 45, Profession: Spycraft 55, Spray Weapons 25, Unarmed Combat 55",,Flat,DUR:35,"Modified Behavior (Level 2): Bloodthirsty, Morphing Disorder (Level 1), Genetic Defect:Heart Disease, Unattractive (Level 1)",Neurachem (Level 1),,"Backup Insurance (Budget):1 month, Fake Ego ID:2, Invisibility Cloak, Liquid Thermite, Miniature Radio Farcaster, MRDR, Oxytocin-A, Radio Booster, Portable QE Communicator; Low- Capacity Qubit Reservoir, Speck Bot:3, Specs, Tactical Network, White Noise Machine 
",Wasp Knife; Frag Grenade; Heavy Rail Pistol,Body Armor (Light) {Thermal Dampening}; Second Skin,,700,"c:50,e:30,g:20",FALSE,
Lunar Ego Hunter,,EP.171,Lost,Lunar,"+Personal Development, +Self-Protection, +Vengeance","Hello, doctor, you’re a hard man to find. I have some questions about some children that I’d like to ask you.","You survived your accelerated growth experience as a member of the Lost generation, the col- lapse of the project, and the scan- dal and witchhunts that followed. You’ve immersed yourself in a new life and identity. Now you put your particular skills and talents to use tracking people as a bounty hunter—a daunting task consider- ing that your targets can change not only their faces but their bodies and sometimes even their memo- ries and mannerisms. All the while you viciously hide your own history and out-maneuver those who want to track your kind down. You are not content to be a victim or a mercenary for others, however. Slowly but surely you are amassing information on those responsible for the Lost project—for what they did to you—and some day you will make them pay. ",,"COG:15, COO:20, INT:15, REF:10, SAV:10, SOM:15, WIL:20, MOX:1, SPD:1","Mental Disorder: Borderline Personality, Mental Disorder: Obsessive-Compulsive, Mental Disorder: PTSD, Psi (Level 2), Social Stigma: Lost","Academics: Neurology 55, Academics: Psychology 60, Art: Dance 45, Art: Painting 45, Beam Weapons 60, Clubs 45, Control 50, Fray 50, Freerunning 55, Infiltration 50, Infosec 45, Interest: Conspiracies 55, Interest: Hypercorp Projects 55, Interest: TITANs 60, Intimidation 20, Investigation 50, Kinesics 40, Language: Native English 85, Language: Japanese 85, Language:Hindi 25, Networking: Criminal 30, Networking: Ecologists 40, Networking: Hypercorps 50, Perception 40, Profession: Ego Hunting 55, Profession:Inner System Law 45, Profession: Police Procedures 55, Psi Assault 40, Research 55, Sense 55, Unarmed Combat 55","Downtime, Emotional Dampers, High Pain Threshold, Instinct, Unconscious Lead, Deep Scan, Ego Sense, Psychic Stab, Scramble, Subliminal",Futura,"COG:5, INT:5, SAV:5, WIL:10: DUR:35","Mental Disorder: Borderline Personality, Mental Disorder: Obsessive-Compulsive, Mental Disorder: PTSD, Psi (Level 2), Social Stigma: Lost","Adrenal Boost, Basic Biomods, Basic Mesh Inserts, Cortical Stack, Eidetic Memory, Emotional Dampers, Enhanced Hearing, Enhanced Smell, Enhanced Vision, Medichines, Oracles",,"Backup Insurance (Budget):1 month, Disabler, Facial/Image Recognition Software, Fake Ego ID, Sniffer Software, Tactical Network, Taggant Swarm, Tracking Software, Tracker Dye, Twitch",Microwave Agonizer; Shock Baton,Body Armor (Light),,2700,"c:30,e:10,g:10",FALSE,
Mercurial Investigator,,EP.172,Infolife,Mercurial,"+AGI Rights, +Personal Development, +Sousveillance","Oh this is great, I think I found it! What is a ‘red light district?’ Oh, I see.","You are a digital life form, coded to be “friendly” and molded with transhuman mindsets and world views. You resent the backlash against AGIs and criticize resurgent human tendencies towards technophobia and xenophobia as harmful to the emerging transhuman society. You immerse your- self fully in transhuman culture and the data it produces, bathing in its richness. You excel at sifting, sorting, and correlating this data, in fact, selling your ser- vices as a mesh-based investigator. For most of your inquiries, a physical form isn’t necessary, as you acquire data on the physi- cal world through sensors. When physical interaction is called for, however, you can operate or jam a bot or catch a ride in a ghostrider module or, as a last resort, in a meat puppet.",,"COG:20, COO:10, INT:15, REF:15, SAV:20, SOM:5, WIL:20, MOX:5, SPD: 1","Real World Naiveté, Social Stigma:AGI","Academics: Anthropology 60, Academics: Computer Science 60, Academics: Physics 50, Art: Digital Art 50, Deception 40, Fray 35, Free Fall 30, Gunnery 50, Impersonation 45, Infiltration 50, Infosec 60, Interest: Crime Groups 60, Interest: Cultural Trends 45, Interfacing 50, Investigation 60, Kinesics 50, Language: Native English 90, Networking: Criminals 50, Networking: Firewall 40, Networking: Hypercorps 40, Perception 45, Pilot: Aircraft 55, Pilot: Anthroform 55, Pilot: Groundcraft 30, Profession: Forensics 60, Profession: Police Procedures 50, Programming 60, Research 60",,Infomorph,SPD:2,"Real World Naiveté, Social Stigma:AGI",,,"AR Illusions Software, Backup Insurance (Budget):1 month, Covert Ops Tool, Creepy, Exploit Software, Facial/Image Recognition Software, Gnat Bot:2, Guardian Bot, Holographic Projector, Juice, Saucer Bot, Scout Swarm, Servitor Bot, Smart Dust, Sniffer Software, Speck Bot:3, Spoof Software, Tactical Network, Tracking Software, XP Clip:5",,,,250,"c:20,g:10,i:20",FALSE,
Mercurial Scavenger,,EP.173,Uplift (Octopus),Mercurial,"+Exploration, +Reclaiming Earth, +Uplift Rights","Maybe it’s the kind of trap that would catch a knuckle-dragging monkey, but my superior physiology was able to easily squeeze out of it.","You may be an “uplift,” but you find it hard not to feel sorry for these modified monkeys around you who have to get by with half as many limbs, gaping sensory blind spots, and brittle bones that are constantly breaking. Any favors they did by uplifting octopus-kind were rendered moot when they succeeded in despoiling and abandoning the home planet you all shared. Nevertheless, you find all the ruins and derelict habitats left behind by transhumanity to be fascinating to explore, so you spend much of your time combing through spacecraft hulls and shattered stations, look- ing for curiosities and lost treasures. Such activities tend to take you close to Earth as well, where you support the efforts of those who hope to take the planet back. Your ultimate dream is to someday swim in the oceans of your ancestors.",,"COG:10, COO:20, INT:15, REF:15, SAV:10, SOM:20, WIL:15, MOX:5, SPD:1","Ambidextrous:2x, Limber (Level 2), 360-Degree Vision, Limbs:8 Tentacles","Academics: Engineering 50, Academics: Materials Science 50, Academics: Physics 50, Art: Ink Painting 45, Language: Native Japanese 85, Climbing 30, Demolitions 40, Exotic Ranged: Ink Attack 35, Free Fall 45, Hardware: Electronics 40, Hardware: Industrial 40, Interest: SpaceshipInfiltration 50, Interest: Post-FallEarth 40, Interest: Ruined Habitats 55, Models 40, Interfacing 30, Investigation 35, Kinetic Weapons 50, Language: Japanese 80, Networking: Autonomists 30, Networking: Criminal 40, Networking: Ecologists 40, Networking: Firewall 30, Networking: Hypercorps 30, Palming 40, Perception 45, Pilot: Aircraft 35, Pilot: Spacecraft 45, Profession: Appraisal 40, Profession: Salvage Ops 60, Scrounging 60, Swimming 50, Unarmed Combat 50",,Octomorph,"COG:5, COO:5, INT:5, DUR:30","Ambidextrous:2x, Limber (Level 2), 360-Degree Vision, Limbs:8 Tentacles","Basic Biomods, Basic Mesh Inserts, Chameleon Skin, Cortical Stack, Direction Sense, Echolocation, Electrical Sense, Enhanced Vision, Grip Pads, Medichines, Oracles, Radiation Sense",,"Backup Insurance (Budget):1 month, Breadcrumb Positioning System, Disassembly Tools, Mobile Lab, Nanodetector, Radio Booster, Shelter dome, Specimen Container, Superthermite Charge, Tactical Network, X-Ray Emitter",Octopus Beak; Ink Attack; Medium Pistol,Vacsuit; Crash Suit {Chameleon Coating},,400,"@:20,c:20,e:40,g:40,i:20",FALSE,
